consort_name,lat,lon,crest,english,modern_country,label,vjust
Matilda of Flanders,51.095,4.4478,Flanders.png,FALSE,Netherlands & Belgium,FALSE,0.25
Matilda of Scotland,56.0717,-3.4522,Scotland.png,FALSE,Scotland,TRUE,0.25
Adeliza of Louvain,51.4827,5.2322,Brabant.png,FALSE,Netherlands & Belgium,FALSE,0.25
Matilda of Boulogne,50.5,1.75,Boulogne.png,FALSE,France,FALSE,0.25
Eleanor of Aquitaine,44.8416,-0.5811,Poitiers.png,FALSE,France,TRUE,0.25
Margaret of France I,48.8575,2.3514,Capet.png,FALSE,France,FALSE,0.25
Berengaria of Navarre,42.6954,-1.6761,Jimena.png,FALSE,Spain,TRUE,0.25
Isabel of Gloucester,51.8642,-2.2382,Glouster.png,TRUE,England,FALSE,0.25
Isabella of Angoulême,45.6489,0.1,Angoulême.png,FALSE,France,TRUE,0.25
Eleanor of Provence,43.5323,5.451,Provence.png,FALSE,France,TRUE,1
Eleanor of Castile,42.3505,-3.6894,Castille.png,FALSE,Spain,TRUE,0.25
Margaret of France II,48.8575,2.3514,Capet.png,FALSE,France,FALSE,0.25
Isabella of France,48.8575,2.3514,Capet.png,FALSE,France,FALSE,0.25
Philippa of Hainault,50.3571,3.5183,Hainault.png,FALSE,France,FALSE,0.25
Anne of Bohemia,50.0755,14.4378,Luxembourg.png,FALSE,Czech,TRUE,1
Isabella of Valois,49.2362,2.8901,Valois.png,FALSE,France,FALSE,0.25
Mary de Bohun,52.0564,-2.716,Hereford.png,TRUE,England,FALSE,0.25
Joanna of Navarre,41.75,-1.6,Évreux.png,FALSE,Spain,FALSE,0.25
Catherine of Valois,49.2362,2.8901,Valois.png,FALSE,France,FALSE,0.25
Margaret of Anjou,48.8575,1.35,ValoisAnjou.png,FALSE,France,FALSE,0.25
Elizabeth Woodville,52.1145,-0.8965,Woodville.png,TRUE,England,FALSE,0.25
Anne Neville,52.2823,-1.5849,Neville.png,TRUE,England,FALSE,0.25
Elizabeth of York,53.9614,-1.0739,York.png,TRUE,England,FALSE,0.25
Catherine of Aragon,40.4167,-3,Trastamara.png,FALSE,Spain,TRUE,0.25
Anne Boleyn,52.614,0.8864,Boleyn.png,TRUE,England,FALSE,0.25
Jane Seymour,51.2463,-1.9922,Seymour.png,TRUE,England,FALSE,0.25
Anne of Cleves,51.223,6.7825,LaMarck.png,FALSE,Germany,FALSE,0.25
Catherine Howard,51.5072,-0.1276,Howard.png,TRUE,England,FALSE,0.25
Catherine Parr,51.5072,-0.1276,Parr.png,TRUE,England,FALSE,0.25
Philip II of Spain,41.6544,-4.7223,Habsberg.png,FALSE,Spain,TRUE,0.25
Anne of Denmark,56.038056,9.925278,Oldenburg.png,FALSE,Denmark,TRUE,0.25
Henrietta Maria of France,48.4,1.95,Bourbon.png,FALSE,France,FALSE,0.25
Catherine of Braganza,38.7223,-9.1393,Braganza.png,FALSE,Portugal,TRUE,0.25
Anne Hyde,51.5072,-0.1276,Hyde.png,TRUE,England,FALSE,0.25
Mary of Modena,44.6471,10.9252,Este.png,FALSE,Italy,TRUE,1
William III,52.0705,4.3007,Orange-Nassau.png,FALSE,Netherlands & Belgium,FALSE,0.25
George of Denmark,56.038056,9.925278,Oldenburg.png,FALSE,Denmark,TRUE,1
Sophia Dorothea of Brunswick-Lueneburg-Celle,53.6,10.5,Hannover.png,FALSE,Germany,TRUE,1
Caroline of Ansbach,49.3004,10.5719,Hohenzollern.png,FALSE,Germany,TRUE,1
Charlotte of Mecklenburg-Strelitz,53.2754,12.8175,Mecklenburg-Strelitz.png,FALSE,Germany,TRUE,0.25
Caroline of Brunswick,52.2678,10.5246,Brunswick.png,FALSE,Germany,TRUE,1
Adelaide of Saxe-Meiningen,50.5739,10.419,saxe-meningen.png,FALSE,Germany,FALSE,0.25
Albert of Saxe-Coburg and Gotha,50.2981,11.0225,saxe-coburg.png,FALSE,Germany,FALSE,0.25
Alexandra of Denmark,56.75,9.925278,Gluckburg.png,FALSE,Denmark,TRUE,1
Mary of Teck,51.5072,-0.1276,Teck.png,TRUE,England,FALSE,0.25
Wallis Warfield Simpson,41.2033,-77.1945,,FALSE,America,FALSE,0.25
Elizabeth Bowes-Lyon,51.5072,-0.1276,Bowes-Lyon.png,TRUE,England,FALSE,0.25
Philip of Greece and Denmark,39.6243,19.9217,Gluckburg.png,FALSE,Greece,TRUE,1